ident,name,continent,iso_country,iso_region,municipality,gps_code,iata_code,coordinates
EDLW,Dortmund Airport,EU,DE,DE-NW,Dortmund,EDLW,DTM,"7.61223983765, 51.51829910279999"
EDSB,Karlsruhe Baden-Baden Airport,EU,DE,DE-BW,Baden-Baden,EDSB,FKB,"8.08049964905, 48.7793998718"
EETN,Lennart Meri Tallinn Airport,EU,EE,EE-37,Tallinn,EETN,TLL,"24.832799911499997, 59.41329956049999"
EFHK,Helsinki Vantaa Airport,EU,FI,FI-ES,Helsinki,EFHK,HEL,"24.963300704956, 60.317199707031"
EGAA,Belfast International Airport,EU,GB,GB-NIR,Belfast,EGAA,BFS,"-6.2158298492399995, 54.6575012207"
EGAC,George Best Belfast City Airport,EU,GB,GB-NIR,Belfast,EGAC,BHD,"-5.872499942779541, 54.618099212646484"
EGBB,Birmingham International Airport,EU,GB,GB-ENG,Birmingham,EGBB,BHX,"-1.74802994728, 52.453899383499994"
EGCC,Manchester Airport,EU,GB,GB-ENG,Manchester,EGCC,MAN,"-2.2749500274658203, 53.35369873046875"
EGCN,Robin Hood Doncaster Sheffield Airport,EU,GB,GB-ENG,Doncaster,EGCN,DSA,"-1.01065635681, 53.4805378105"
EGFF,Cardiff International Airport,EU,GB,GB-WLS,Cardiff,EGFF,CWL,"-3.343329906463623, 51.39670181274414"
EGGD,Bristol Airport,EU,GB,GB-ENG,Bristol,EGGD,BRS,"-2.71909, 51.382702"
EGGP,Liverpool John Lennon Airport,EU,GB,GB-ENG,Liverpool,EGGP,LPL,"-2.849720001220703, 53.33359909057617"
EGGW,London Luton Airport,EU,GB,GB-ENG,London,EGGW,LTN,"-0.36833301186561584, 51.874698638916016"
EGHH,Bournemouth Airport,EU,GB,GB-ENG,Bournemouth,EGHH,BOH,"-1.8424999713897705, 50.779998779296875"
EGHI,Southampton Airport,EU,GB,GB-ENG,Southampton,EGHI,SOU,"-1.3567999601364136, 50.95029830932617"
EGKK,London Gatwick Airport,EU,GB,GB-ENG,London,EGKK,LGW,"-0.190278, 51.148102"
EGLL,London Heathrow Airport,EU,GB,GB-ENG,London,EGLL,LHR,"-0.461941, 51.4706"
EGNM,Leeds Bradford Airport,EU,GB,GB-ENG,Leeds,EGNM,LBA,"-1.6605700254440308, 53.86589813232422"
EGNT,Newcastle Airport,EU,GB,GB-ENG,Newcastle,EGNT,NCL,"-1.6916699409484863, 55.037498474121094"
EGNX,East Midlands Airport,EU,GB,GB-ENG,Nottingham,EGNX,EMA,"-1.32806003094, 52.8311004639"
EGPD,Aberdeen Dyce Airport,EU,GB,GB-SCT,Aberdeen,EGPD,ABZ,"-2.197779893875122, 57.201900482177734"
EGPF,Glasgow International Airport,EU,GB,GB-SCT,Glasgow,EGPF,GLA,"-4.43306, 55.871899"
EGPH,Edinburgh Airport,EU,GB,GB-SCT,Edinburgh,EGPH,EDI,"-3.372499942779541, 55.95000076293945"
EGSH,Norwich International Airport,EU,GB,GB-ENG,Norwich,EGSH,NWI,"1.28278005123, 52.6758003235"
EGSS,London Stansted Airport,EU,GB,GB-ENG,London,EGSS,STN,"0.234999999404, 51.8849983215"
EGTE,Exeter International Airport,EU,GB,GB-ENG,Exeter,EGTE,EXT,"-3.4138898849487305, 50.73440170288086"
